Model,CV Accuracy,CV Precision,CV Recall,CV F1,CV Weighted F1,CV AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test Weighted F1,Test AUC
Random Forest,0.999147091225701,0.9992009326059326,0.9996817600618103,0.9994412776433141,0.9991468600812388,0.9999503842504636,0.9989338766613756,0.9991929476036752,0.9994101027663076,0.99930151338766,0.99893374794347,0.9999611412959112
XGBoost,0.9991648601584989,0.9993171415331225,0.9995886169474039,0.9994528566227033,0.9991647368411184,0.9999855184724625,0.9988628017721339,0.9991928724428026,0.9993169610978297,0.9992549129179473,0.9988627233342173,0.9999796454407153
Decision Tree,0.9986554840849591,0.999122891047968,0.9991151387864433,0.9991190083707031,0.9986555046280646,0.9981450697039481,0.9928688194460897,0.9956197576887232,0.9950324443478531,0.9953260143791053,0.9928711515657623,0.9904662221739265
Logistic Regression,0.9557908951988344,0.9720070219200188,0.9700001572833399,0.9710025339491136,0.9558413409195028,0.9856529577336842,0.956976000379066,0.9713700797171129,0.972274830016455,0.9718222442899702,0.9569536975589695,0.9787945015368376
K-NN,0.9965409810820095,0.9980274452184436,0.9974385654382848,0.9977328595575933,0.996542094846972,0.9984469365321608,0.9549859034803004,0.9740966682308775,0.9667173771306157,0.9703929940474335,0.9551716044335892,0.9508800894160017
