ablation,feature_mode,model_type,mitm_ratio,n_features,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mitm_precision,mitm_recall,mitm_f1
"A. No MI, no PCA + OVR XGBoost + MITM KMeansSMOTE",none,xgb,0.7,37,98.81778767561421,97.63835181801511,95.10483856793105,97.63835181801511,96.10697630806875,98.84895866976969,60.130718954248366,88.03827751196172,71.45631067961165
B. Correlation pruning only + OVR XGBoost + MITM KMeansSMOTE,corr,xgb,0.7,26,98.83674097941197,97.71025000433488,95.29513256159564,97.71025000433488,96.26857380252562,98.86359416307832,62.08053691275168,88.51674641148325,72.97830374753451
"C. No MI, no PCA + OVR CatBoost + MITM KMeansSMOTE",none,catboost,0.7,37,98.73012864554953,97.65134077945294,94.76247524900522,97.65134077945294,95.85171703341206,98.76990789129039,57.05521472392638,88.99521531100478,69.53271028037383
"D. No MI, no PCA + LightGBM OVR + MITM KMeansSMOTE",none,lightgbm,0.7,37,98.95519912814802,98.06088913213193,95.31652561171816,98.06088913213193,96.38700291802176,98.98584090465238,60.89743589743589,90.9090909090909,72.93666026871402
"E. No MI, no PCA + OVR XGBoost + MITM KMeansSMOTE ratio=0.3",none,xgb,0.3,37,98.86754009808335,97.50735649991039,95.25820563721007,97.50735649991039,96.16841664980227,98.89401704024836,61.224489795918366,86.1244019138756,71.57057654075547
"E. No MI, no PCA + OVR XGBoost + MITM KMeansSMOTE ratio=0.5",none,xgb,0.5,37,98.87701674998223,97.83457417498974,95.21372295844637,97.83457417498974,96.23831572536548,98.90775830713518,60.517799352750814,89.47368421052632,72.2007722007722
"E. No MI, no PCA + OVR XGBoost + MITM KMeansSMOTE ratio=0.7",none,xgb,0.7,37,98.81778767561421,97.63835181801511,95.10483856793105,97.63835181801511,96.10697630806875,98.84895866976969,60.130718954248366,88.03827751196172,71.45631067961165
"E. No MI, no PCA + OVR XGBoost + MITM KMeansSMOTE ratio=0.9",none,xgb,0.9,37,98.86990926105807,97.83112931181947,95.23652015092597,97.83112931181947,96.25578393795534,98.89938570717725,60.91205211726385,89.47368421052632,72.48062015503875
