ablation,feature_mode,model_type,mitm_ratio,n_features,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mitm_precision,mitm_recall,mitm_f1
"A. No MI, no PCA + OVR XGBoost + MITM KMeansSMOTE",none,xgb,0.7,37,0.9881778767561421,0.9763835181801511,0.9510483856793106,0.9763835181801511,0.9610697630806875,0.9884895866976969,0.6013071895424836,0.8803827751196173,0.7145631067961165
B. Correlation pruning only + OVR XGBoost + MITM KMeansSMOTE,corr,xgb,0.7,26,0.9883674097941197,0.9771025000433488,0.9529513256159563,0.9771025000433488,0.9626857380252563,0.9886359416307832,0.6208053691275168,0.8851674641148325,0.7297830374753451
"C. No MI, no PCA + OVR CatBoost + MITM KMeansSMOTE",none,catboost,0.7,37,0.9873012864554953,0.9765134077945294,0.9476247524900522,0.9765134077945294,0.9585171703341206,0.9876990789129039,0.5705521472392638,0.8899521531100478,0.6953271028037383
"D. No MI, no PCA + LightGBM OVR + MITM KMeansSMOTE",none,lightgbm,0.7,37,0.9895519912814803,0.9806088913213193,0.9531652561171816,0.9806088913213193,0.9638700291802177,0.9898584090465238,0.6089743589743589,0.9090909090909091,0.7293666026871402
"E. No MI, no PCA + OVR XGBoost + MITM KMeansSMOTE ratio=0.3",none,xgb,0.3,37,0.9886754009808335,0.9750735649991038,0.9525820563721007,0.9750735649991038,0.9616841664980227,0.9889401704024836,0.6122448979591837,0.861244019138756,0.7157057654075547
"E. No MI, no PCA + OVR XGBoost + MITM KMeansSMOTE ratio=0.5",none,xgb,0.5,37,0.9887701674998223,0.9783457417498974,0.9521372295844637,0.9783457417498974,0.9623831572536549,0.9890775830713519,0.6051779935275081,0.8947368421052632,0.722007722007722
"E. No MI, no PCA + OVR XGBoost + MITM KMeansSMOTE ratio=0.7",none,xgb,0.7,37,0.9881778767561421,0.9763835181801511,0.9510483856793106,0.9763835181801511,0.9610697630806875,0.9884895866976969,0.6013071895424836,0.8803827751196173,0.7145631067961165
"E. No MI, no PCA + OVR XGBoost + MITM KMeansSMOTE ratio=0.9",none,xgb,0.9,37,0.9886990926105806,0.9783112931181946,0.9523652015092597,0.9783112931181946,0.9625578393795534,0.9889938570717725,0.6091205211726385,0.8947368421052632,0.7248062015503876
